id	chr	strand	start	end	mean	sd	gene	EVENT	ss	group	source	c3ss_mean	c3ss_sd	c3ss	c3ss_length	direction	lc_gc_content	intron_length
ACLY:chr17:41906646:41906728	chr17	-	41906646	41907442	1463	333.797843012803	ACLY	HsaALTA1024859-1/2	41906646	41907442	Canonical	73	NA	41906728	82	upstream	52.317880794702	796
ACLY:chr17:41907572:41907569	chr17	-	41907572	41908989	1182	874.632875363524	ACLY	HsaALTA1024858-2/2	41907572	41908989	Canonical	12.3333333333333	5.5075705472861	41907569	-3	downstream	54.3046357615894	1417
ACLY:chr17:41913896:41913900	chr17	-	41913896	41918880	518.666666666667	68.2446579105891	ACLY	HsaALTA1024863-1/3	41913896	41918880	Canonical	112.5	74.9777744846209	41913900	4	upstream	56.2913907284768	4984
ACTB:chr7:5527891:5527867	chr7	-	5527891	5528004	9729	3152.99159529486	ACTB	HsaALTA1006174-3/4	5527891	5528004	Canonical	1044	357.920382208111	5527867	-24	downstream	59.6026490066225	113
ACTG1:chr17:81510833:81510809	chr17	-	81510833	81510927	6731	3037.43115148311	ACTG1	HsaALTA1050616-5/7	81510833	81510927	Canonical	176.5	40.3050865276332	81510809	-24	downstream	64.9006622516556	94
ACTG1:chr17:81512142:81512115	chr17	-	81512142	81512232	8188.66666666667	9126.4019343149	ACTG1	HsaALTA1050618-2/3	81512142	81512232	Canonical	154.333333333333	25.3837218179946	81512115	-27	downstream	70.1986754966888	90
ACTR1A:chr10:102488275:102488272	chr10	-	102488275	102489063	427	59.8080262172227	ACTR1A	HsaALTA1029189-2/2	102488275	102489063	Canonical	14.5	12.0208152801713	102488272	-3	downstream	56.2913907284768	788
ACTR5:chr20:38766238:38766257	chr20	+	38765518	38766238	96.3333333333333	10.1159939369957	ACTR5	HsaALTA1011267-3/3	38766238	38765518	Canonical	21.6666666666667	8.50490054811538	38766257	19	downstream	39.0728476821192	720
ACTR6:chr12:100212256:100212260	chr12	+	100210351	100212256	211.666666666667	60.7398825594299	ACTR6	HsaALTA1006009-2/2	100212256	100210351	Canonical	13	15.556349186104	100212260	4	downstream	19.8675496688742	1905
ACTR8:chr3:53868862:53868889	chr3	-	53868862	53869982	223.666666666667	25.3245598842968	ACTR8	HsaALTA1017393-1/2	53868862	53869982	Canonical	14	NA	53868889	27	upstream	42.3841059602649	1120
ADA:chr20:44629169:44629166	chr20	-	44629169	44636227	364.857142857143	456.177388220646	ADA	HsaALTA1053540-2/2	44629169	44636227	Canonical	11	2.82842712474619	44629166	-3	downstream	62.9139072847682	7058
ADAM17:chr2:9521316:9521321	chr2	-	9521316	9523249	246.333333333333	52.3672925912094	ADAM17	HsaALTA1035555-1/2	9521316	9523249	Canonical	18	4	9521321	5	upstream	26.4900662251656	1933
ADAM17:chr2:9526244:9526264	chr2	-	9526244	9527786	268	39.1535439009038	ADAM17	HsaALTA1035553-2/3	9526244	9527786	Canonical	24	0	9526264	20	upstream	26.4900662251656	1542
ADAM22:chr7:87935026:87935029	chr7	+	87934550	87935026	151	36.3455636907725	ADAM22	HsaALTA1000880-2/2	87935026	87934550	Canonical	16.3333333333333	9.45163125250522	87935029	3	downstream	58.9403973509934	476
ADAMTS6:chr5:65452221:65452216	chr5	-	65452221	65452707	35.6666666666667	7.50555349946513	ADAMTS6	HsaALTA0000224-2/2	65452221	65452707	Canonical	23	5.19615242270663	65452216	-5	downstream	32.4503311258278	486
ADCY3:chr2:24828161:24828023	chr2	-	24828161	24830709	85.3333333333333	21.733231083604	ADCY3	HsaALTA0000238-4/6	24828161	24830709	Canonical	17.6666666666667	2.08166599946613	24828023	-138	downstream	59.6026490066225	2548
ADD3:chr10:110119466:110119480	chr10	+	110119354	110119466	300	54.2494239600754	ADD3	HsaALTA1034511-2/2	110119466	110119354	Canonical	11	NA	110119480	14	downstream	42.3841059602649	112
ADGRL1:chr19:14152150:14152222	chr19	-	14152150	14152309	144.333333333333	43.5009578438606	ADGRL1	HsaALTA1005485-1/2	14152150	14152309	Canonical	54.6666666666667	8.50490054811538	14152222	72	upstream	58.9403973509934	159
ADIPOR1:chr1:202945169:202945195	chr1	-	202945169	202946439	766.666666666667	96.0277737601645	ADIPOR1	HsaALTA1038498-1/2	202945169	202946439	Canonical	11.3333333333333	4.72581562625261	202945195	26	upstream	35.0993377483444	1270
ADPGK:chr15:72752892:72752895	chr15	-	72752892	72755556	99.2	86.7767249900571	ADPGK	HsaALTA0000252-1/2	72752892	72755556	Canonical	73.6666666666667	13.4288247189891	72752895	3	upstream	45.6953642384106	2664
AEBP1:chr7:44110015:44109645	chr7	+	44109341	44110015	615.444444444444	914.632728354818	AEBP1	HsaALTA0000260-1/3	44110015	44109341	Canonical	16.75	4.57347424467075	44109645	-370	upstream	68.8741721854305	674
AEBP1:chr7:44112142:44112206	chr7	+	44112050	44112142	1035.66666666667	1144.40861001072	AEBP1	HsaALTA0000261-2/2	44112142	44112050	Canonical	75	49.5445927086566	44112206	64	downstream	62.2516556291391	92
AFDN:chr6:167870383:167870386	chr6	+	167864746	167870383	145.666666666667	27.0061721340388	AFDN	HsaALTA0005253-3/3	167870383	167864746	Canonical	105.666666666667	22.8108161479008	167870386	3	downstream	26.4900662251656	5637
AFDN:chr6:167872214:167872217	chr6	+	167870498	167872214	183.333333333333	40.4268887416943	AFDN	HsaALTA0005254-2/2	167872214	167870498	Canonical	135	30.5122926047847	167872217	3	downstream	40.3973509933775	1716
AFF1:chr4:87046695:87046699	chr4	+	87046286	87046695	857.333333333333	41.6213086451319	AFF1	HsaALTA1046301-2/2	87046695	87046286	Canonical	15.6666666666667	6.42910050732864	87046699	4	downstream	29.8013245033113	409
AFF1:chr4:87084120:87084123	chr4	+	87047594	87084120	332.5	221.674686571712	AFF1	HsaALTA0000267-2/2	87084120	87047594	Canonical	219.666666666667	28.0237994093116	87084123	3	downstream	37.7483443708609	36526
AFF1:chr4:87134471:87134474	chr4	+	87132408	87134471	440	30.0499584026334	AFF1	HsaALTA0000266-6/6	87134471	87132408	Canonical	37.6666666666667	7.02376916856849	87134474	3	downstream	45.0331125827815	2063
AFF3:chr2:99554534:99554486	chr2	-	99554534	99554683	108	8.54400374531753	AFF3	HsaALTA0000269-2/2	99554534	99554683	Canonical	26	7.81024967590665	99554486	-48	downstream	64.2384105960265	149
AFF3:chr2:99649666:99649663	chr2	-	99649666	99672538	116.333333333333	34.5301800362137	AFF3	HsaALTA1032693-2/2	99649666	99672538	Canonical	24.3333333333333	2.51661147842358	99649663	-3	downstream	37.0860927152318	22872
AFG3L2:chr18:12360051:12360025	chr18	-	12360051	12363782	178.8	161.343422549542	AFG3L2	HsaALTA1031057-2/2	12360051	12363782	Canonical	11	1.4142135623731	12360025	-26	downstream	24.5033112582781	3731
AFTPH:chr2:64591885:64591888	chr2	+	64585545	64591885	123.666666666667	28.5365263010993	AFTPH	HsaALTA0000272-2/2	64591885	64585545	Canonical	73.3333333333333	17.3877351409933	64591888	3	downstream	37.7483443708609	6340
AGAP6:chr10:50008500:50008504	chr10	+	50008076	50008500	33.6666666666667	23.2450711621482	AGAP6	HsaALTA1055751-2/2	50008500	50008076	Canonical	23.3333333333333	5.5075705472861	50008504	4	downstream	47.0198675496689	424
AGFG1:chr2:227553704:227553710	chr2	+	227552117	227553704	350	31.7962261911693	AGFG1	HsaALTA0000280-2/2	227553704	227552117	Canonical	95.3333333333333	5.13160143944688	227553710	6	downstream	36.4238410596026	1587
AGPAT4:chr6:161149289:161149255	chr6	-	161149289	161153346	16.75	10.5	AGPAT4	HsaALTA0000287-2/2	161149289	161153346	Canonical	12.6666666666667	9.01849950564579	161149255	-34	downstream	31.7880794701987	4057
AHCY:chr20:34285634:34285511	chr20	-	34285634	34290332	615.333333333333	33.3216646242851	AHCY	HsaALTA0000297-2/3	34285634	34290332	Canonical	30.6666666666667	4.16333199893227	34285511	-123	downstream	60.9271523178808	4698
AHCY:chr20:34290449:34290436	chr20	-	34290449	34290551	770.666666666667	49.5714971867235	AHCY	HsaALTA0000296-2/2	34290449	34290551	Canonical	25	12.7279220613579	34290436	-13	downstream	60.2649006622517	102
AHDC1:chr1:27553185:27553290	chr1	-	27553185	27558305	238.25	171.913495688966	AHDC1	HsaALTA0000302-1/3	27553185	27558305	Canonical	67	15.3948043183407	27553290	105	upstream	39.0728476821192	5120
AHDC1:chr1:27553185:27553304	chr1	-	27553185	27558305	238.25	171.913495688966	AHDC1	HsaALTA0000302-1/3	27553185	27558305	Canonical	20.3333333333333	3.05505046330389	27553304	119	upstream	34.4370860927152	5120
AHDC1:chr1:27603494:27603491	chr1	-	27603494	27603728	289.333333333333	76.0613787235896	AHDC1	HsaALTA1022743-2/2	27603494	27603728	Canonical	112.666666666667	44.0605643782888	27603491	-3	downstream	72.1854304635762	234
AKAP13:chr15:85710579:85710582	chr15	+	85708086	85710579	160	109.802853636263	AKAP13	HsaALTA1045481-2/2	85710579	85708086	Canonical	35	2.64575131106459	85710582	3	downstream	52.9801324503311	2493
AKAP13:chr15:85718013:85718007	chr15	+	85717402	85718013	129	27.0739727413618	AKAP13	HsaALTA0000321-1/3	85718013	85717402	Canonical	98.6666666666667	20.2566861389847	85718007	-6	upstream	32.4503311258278	611
AKAP13:chr15:85740222:85740225	chr15	+	85736134	85740222	159	29.1032644217105	AKAP13	HsaALTA1045488-2/2	85740222	85736134	Canonical	30.3333333333333	16.6533279957291	85740225	3	downstream	34.4370860927152	4088
AKR1B1:chr7:134448493:134448466	chr7	-	134448493	134448997	1099.33333333333	169.024653034205	AKR1B1	HsaALTA1007773-3/4	134448493	134448997	Canonical	17.3333333333333	8.14452781524708	134448466	-27	downstream	47.0198675496689	504
AKT1:chr14:104792722:104792720	chr14	-	104792722	104793127	158.666666666667	51.2867754234299	AKT1	HsaALTA1031582-2/2	104792722	104793127	Canonical	10.5	2.12132034355964	104792720	-2	downstream	64.9006622516556	405
AKT2:chr19:40235147:40235123	chr19	-	40235147	40235263	669	61.2127437712116	AKT2	HsaALTA0000339-2/3	40235147	40235263	Canonical	12	5.65685424949238	40235123	-24	downstream	64.2384105960265	116
AKT2:chr19:40236104:40236142	chr19	-	40236104	40236257	303.666666666667	326.140869359648	AKT2	HsaALTA1013140-1/2	40236104	40236257	Canonical	35	NA	40236142	38	upstream	64.2384105960265	153
ALAD:chr9:113392169:113392335	chr9	-	113392169	113393447	208	103.058235963944	ALAD	HsaALTA0000349-1/2	113392169	113393447	Canonical	38	15.6204993518133	113392335	166	upstream	39.0728476821192	1278
ALG12:chr22:49904506:49904384	chr22	-	49904506	49907721	110.666666666667	18.5562208796224	ALG12	HsaALTA0000371-2/2	49904506	49907721	Canonical	13.6666666666667	3.05505046330389	49904384	-122	downstream	48.3443708609272	3215
ALG3:chr3:184244721:184244651	chr3	-	184244721	184245198	672.666666666667	190.90398983084	ALG3	HsaALTA1056855-2/2	184244721	184245198	Canonical	22.6666666666667	14.2945210949277	184244651	-70	downstream	56.953642384106	477
ALG9:chr11:111838378:111838399	chr11	-	111838378	111840655	164.666666666667	13.6503968196288	ALG9	HsaALTA1063898-1/3	111838378	111840655	Canonical	57	9.53939201416946	111838399	21	upstream	35.0993377483444	2277
ALKBH2:chr12:109092787:109092937	chr12	-	109092787	109093247	20.3333333333333	8.32666399786453	ALKBH2	HsaALTA0000377-1/2	109092787	109093247	Canonical	18.1111111111111	24.740879352018	109092937	150	upstream	51.6556291390728	460
ALKBH6:chr19:36011045:36011077	chr19	-	36011045	36011404	72.3333333333333	24.0069434400411	ALKBH6	HsaALTA1064400-1/3	36011045	36011404	Canonical	24	9.8488578017961	36011077	32	upstream	53.6423841059603	359
ALKBH8:chr11:107553978:107553973	chr11	-	107553978	107556766	67.3333333333333	23.1156512634477	ALKBH8	HsaALTA1028793-2/2	107553978	107556766	Canonical	11.6666666666667	4.61880215351701	107553973	-5	downstream	33.112582781457	2788
ALYREF:chr17:81888418:81888409	chr17	-	81888418	81888520	714	192.984455332547	ALYREF	HsaALTA1050481-2/2	81888418	81888520	Canonical	18.6666666666667	3.21455025366432	81888409	-9	downstream	60.2649006622517	102
AMPD2:chr1:109629796:109629800	chr1	+	109629490	109629796	176.5	121.453694879983	AMPD2	HsaALTA1018756-2/2	109629796	109629490	Canonical	17.3333333333333	3.21455025366432	109629800	4	downstream	60.2649006622517	306
ANAPC1:chr2:111769406:111769305	chr2	-	111769406	111772341	178	34.6410161513775	ANAPC1	HsaALTA1036131-2/3	111769406	111772341	Canonical	13	NA	111769305	-101	downstream	44.3708609271523	2935
ANAPC1:chr2:111825036:111825030	chr2	-	111825036	111825131	374.333333333333	31.9739477283199	ANAPC1	HsaALTA1036142-2/2	111825036	111825131	Canonical	11	NA	111825030	-6	downstream	31.7880794701987	95
ANAPC1:chr2:111847865:111847846	chr2	-	111847865	111850776	245	224.502783947104	ANAPC1	HsaALTA1036137-3/3	111847865	111850776	Canonical	12	NA	111847846	-19	downstream	29.8013245033113	2911
ANAPC15:chr11:72111286:72111281	chr11	-	72111286	72111412	60.5	59.5575352075621	ANAPC15	HsaALTA1015643-2/2	72111286	72111412	Canonical	36	35.7980446393375	72111281	-5	downstream	45.6953642384106	126
ANAPC2:chr9:137183791:137183782	chr9	-	137183791	137184913	102	112.035708593287	ANAPC2	HsaALTA0000421-2/2	137183791	137184913	Canonical	12	NA	137183782	-9	downstream	58.2781456953642	1122
ANAPC5:chr12:121318424:121318404	chr12	-	121318424	121318501	741.333333333333	72.665902136651	ANAPC5	HsaALTA1008450-3/3	121318424	121318501	Canonical	18.6666666666667	4.04145188432738	121318404	-20	downstream	45.0331125827815	77
ANAPC5:chr12:121328497:121328458	chr12	-	121328497	121330583	350.2	320.496021816184	ANAPC5	HsaALTA0000422-2/2	121328497	121330583	Canonical	208.75	137.223358069973	121328458	-39	downstream	45.0331125827815	2086
ANKFY1:chr17:4182349:4182352	chr17	-	4182349	4183398	135.333333333333	58.2866479850517	ANKFY1	HsaALTA1051407-1/2	4182349	4183398	Canonical	18.75	12.0104121494643	4182352	3	upstream	41.7218543046358	1049
ANKIB1:chr7:92396365:92396383	chr7	+	92392292	92396365	150	21.6564078277077	ANKIB1	HsaALTA1000089-2/2	92396365	92392292	Canonical	15.6666666666667	1.52752523165195	92396383	18	downstream	29.8013245033113	4073
ANKLE1:chr19:17282057:17282062	chr19	+	17281982	17282057	35.3333333333333	38.7539245324479	ANKLE1	HsaALTA0000440-2/2	17282057	17281982	Canonical	14	7.54983443527075	17282062	5	downstream	73.5099337748344	75
ANKLE2:chr12:132734575:132734496	chr12	-	132734575	132735406	371	70.1925922017416	ANKLE2	HsaALTA1048202-5/5	132734575	132735406	Canonical	24	11.7898261225516	132734496	-79	downstream	43.046357615894	831
ANKLE2:chr12:132756761:132756758	chr12	-	132756761	132761618	86	9.53939201416946	ANKLE2	HsaALTA0000441-2/2	132756761	132761618	Canonical	19	6.557438524302	132756758	-3	downstream	54.3046357615894	4857
ANKRD10:chr13:110880112:110880130	chr13	-	110880112	110883698	89.1578947368421	183.917029348047	ANKRD10	HsaALTA1008280-1/2	110880112	110883698	Canonical	13	5	110880130	18	upstream	29.8013245033113	3586
ANKRD13A:chr12:110027705:110027708	chr12	+	110025823	110027705	486.666666666667	162.549479646455	ANKRD13A	HsaALTA0000449-2/3	110027705	110025823	Canonical	158.666666666667	57.1168393149808	110027708	3	downstream	35.0993377483444	1882
ANKRD13A:chr12:110028512:110028509	chr12	+	110027766	110028512	537.333333333333	120.192900511359	ANKRD13A	HsaALTA1006321-1/3	110028512	110027766	Canonical	31	1	110028509	-3	upstream	45.0331125827815	746
ANKRD17:chr4:73085446:73085365	chr4	-	73085446	73090667	544.333333333333	23.7557010701291	ANKRD17	HsaALTA1025358-2/2	73085446	73090667	Canonical	49	6.08276253029822	73085365	-81	downstream	33.7748344370861	5221
ANKRD17:chr4:73135265:73135262	chr4	-	73135265	73139531	129.5	86.496628065299	ANKRD17	HsaALTA1025351-2/2	73135265	73139531	Canonical	61	10.1488915650922	73135262	-3	downstream	27.8145695364238	4266
ANKRD26:chr10:27046523:27046520	chr10	-	27046523	27048801	26	18.0831413200251	ANKRD26	HsaALTA0000461-2/2	27046523	27048801	Canonical	23.6666666666667	11.5470053837925	27046520	-3	downstream	24.5033112582781	2278
ANKRD54:chr22:37838598:37838593	chr22	-	37838598	37840187	133	39.585350825779	ANKRD54	HsaALTA0000472-3/3	37838598	37840187	Canonical	12.6666666666667	3.05505046330389	37838593	-5	downstream	56.953642384106	1589
ANLN:chr7:36420597:36420612	chr7	+	36420314	36420597	222.666666666667	51.8587826055851	ANLN	HsaALTA0000479-2/2	36420597	36420314	Canonical	12.3333333333333	4.50924975282289	36420612	15	downstream	36.4238410596026	283
ANP32E:chr1:150223240:150223294	chr1	-	150223240	150226608	552.285714285714	700.471915755303	ANP32E	HsaALTA1032200-2/4	150223240	150226608	Canonical	21	8	150223294	54	upstream	42.3841059602649	3368
ANXA7:chr10:73397274:73397265	chr10	-	73397274	73398181	409.666666666667	77.5263396100534	ANXA7	HsaALTA0000504-2/3	73397274	73398181	Canonical	11	4.58257569495584	73397265	-9	downstream	30.4635761589404	907
AP1B1:chr22:29334410:29334350	chr22	-	29334410	29338990	259.75	178.281378724756	AP1B1	HsaALTA0000511-2/2	29334410	29338990	Canonical	14	4.58257569495584	29334350	-60	downstream	62.9139072847682	4580
AP1B1:chr22:29356616:29356535	chr22	-	29356616	29358726	294.333333333333	71.1430483837552	AP1B1	HsaALTA1010202-2/3	29356616	29358726	Canonical	15.5	3.53553390593274	29356535	-81	downstream	61.5894039735099	2110
AP1G2:chr14:23562593:23563282	chr14	-	23562593	23563380	64.8333333333333	66.5805276839007	AP1G2	HsaALTA1056802-1/2	23562593	23563380	Canonical	31.3333333333333	11.3724814061547	23563282	689	upstream	56.953642384106	787
AP1G2:chr14:23564159:23564221	chr14	-	23564159	23564333	173.333333333333	29.1433239925259	AP1G2	HsaALTA0000515-1/2	23564159	23564333	Canonical	44	3.60555127546399	23564221	62	upstream	51.6556291390728	174
AP1G2:chr14:23567319:23567315	chr14	-	23567319	23567739	27	15.5161206491829	AP1G2	HsaALTA0000514-2/3	23567319	23567739	Canonical	26.2	8.52642949891688	23567315	-4	downstream	61.5894039735099	420
AP2A1:chr19:49791935:49791950	chr19	+	49782724	49791935	314.333333333333	344.76639434067	AP2A1	HsaALTA1053646-3/3	49791935	49782724	Canonical	43	NA	49791950	15	downstream	66.2251655629139	9211
AP2A2:chr11:985435:985432	chr11	+	984753	985435	161.666666666667	8.9628864398325	AP2A2	HsaALTA0000522-1/2	985435	984753	Canonical	33.3333333333333	2.51661147842358	985432	-3	upstream	51.6556291390728	682
AP2S1:chr19:46839578:46839620	chr19	-	46839578	46845993	266.75	191.487815104077	AP2S1	HsaALTA1002704-1/2	46839578	46845993	Canonical	13.6666666666667	10.5987420637231	46839620	42	upstream	62.2516556291391	6415
AP3D1:chr19:2110896:2110876	chr19	-	2110896	2111285	446.333333333333	55.0121198767447	AP3D1	HsaALTA1004281-3/4	2110896	2111285	Canonical	14	NA	2110876	-20	downstream	66.2251655629139	389
AP3D1:chr19:2112931:2112967	chr19	-	2112931	2113336	250.666666666667	58.44940832321	AP3D1	HsaALTA0000532-1/2	2112931	2113336	Canonical	140.333333333333	32.7159492195066	2112967	36	upstream	66.887417218543	405
AP4E1:chr15:50915448:50915425	chr15	+	50912149	50915448	70	47.3497624070069	AP4E1	HsaALTA1007144-1/2	50915448	50912149	Canonical	12	2.64575131106459	50915425	-23	upstream	25.1655629139073	3299
AP5Z1:chr7:4786250:4786001	chr7	+	4785684	4786250	85	16.7032930884901	AP5Z1	HsaALTA1059632-3/4	4786250	4785684	Canonical	14.3333333333333	5.13160143944688	4786001	-249	upstream	44.3708609271523	566
APBB1IP:chr10:26500819:26500821	chr10	+	26496391	26500819	1068.33333333333	156.346836659183	APBB1IP	HsaALTA1006539-3/3	26500819	26496391	Canonical	20	NA	26500821	2	downstream	26.4900662251656	4428
APBB2:chr4:40825970:40825967	chr4	-	40825970	40827132	239	19.672315572906	APBB2	HsaALTA0000543-2/2	40825970	40827132	Canonical	12.6666666666667	3.78593889720018	40825967	-3	downstream	45.0331125827815	1162
APBB2:chr4:40945073:40945070	chr4	-	40945073	41013583	47	5.29150262212918	APBB2	HsaALTA0000542-2/2	40945073	41013583	Canonical	30	5.19615242270663	40945070	-3	downstream	45.0331125827815	68510
APC:chr5:112818966:112819269	chr5	+	112815593	112818966	63	18.3303027798234	APC	HsaALTA1026808-3/3	112818966	112815593	Canonical	10.6666666666667	4.50924975282289	112819269	303	downstream	50.9933774834437	3373
APH1A:chr1:150268127:150267991	chr1	-	150268127	150268698	235.857142857143	295.884227681159	APH1A	HsaALTA0000551-2/2	150268127	150268698	Canonical	36	11.5325625946708	150267991	-136	downstream	56.2913907284768	571
APOBEC3C:chr22:39017766:39017973	chr22	+	39015751	39017766	396.666666666667	404.603344853533	APOBEC3C	HsaALTA1059777-2/2	39017766	39015751	Canonical	24.6666666666667	6.02771377334171	39017973	207	downstream	56.2913907284768	2015
APP:chr21:25975228:25975219	chr21	-	25975228	25975954	1009.33333333333	181.332107838996	APP	HsaALTA0000573-2/3	25975228	25975954	Canonical	13.6666666666667	2.3094010767585	25975219	-9	downstream	37.0860927152318	726
APTX:chr9:32987846:32987842	chr9	-	32987846	32988083	168.333333333333	60.011110082495	APTX	HsaALTA0000578-2/2	32987846	32988083	Canonical	40.5	27.0616579930597	32987842	-4	downstream	36.4238410596026	237
ARAP2:chr4:36212487:36212454	chr4	-	36212487	36213243	69.3333333333333	11.8462370959446	ARAP2	HsaALTA1002910-3/3	36212487	36213243	Canonical	24.3333333333333	9.07377172587747	36212454	-33	downstream	28.476821192053	756
