splice_coords	length	gene	c3ss_length	chr	start	end	int_chr	int_start	int_end	strand	type	synth	Notes	GC_content
chr16:54920339-54923584	3257	CRNDE	11	chr16	54920339	54923584	chr16	54920328	54923584	-	C3SS Upstream	Gblock	NA	25.82781457
chr22:19057187-19063201	6039	DGCR2	24	chr22	19057187	19063201	chr22	19057163	19063201	-	C3SS Upstream	Gblock	NA	58.94039735
chr21:46550745-46551616	889	DIP2A	17	chr21	46550745	46551616	chr21	46550745	46551633	+	C3SS Upstream	Gblock	NA	30.46357616
chr3:197065465-197065707	259	DLG1	16	chr3	197065465	197065707	chr3	197065449	197065707	-	C3SS Upstream	Gblock	No SHAPE info on G of AG C3SS	27.15231788
chr17:7227712-7227976	274	DVL2	9	chr17	7227712	7227976	chr17	7227703	7227976	-	C3SS Upstream	Gblock	NA	59.60264901
chr9:137728530-137743370	14865	EHMT1	24	chr9	137728530	137743370	chr9	137728530	137743394	+	ATSS	Not Gblock	NA	38.41059603
chr18:36145035-36145933	913	ELP2	14	chr18	36145035	36145933	chr18	36145035	36145947	+	C3SS Upstream	Gblock	NA	35.09933775
chr18:683396-685920	2540	ENOSF1	15	chr18	683396	685920	chr18	683381	685920	-	C3SS Upstream	Gblock	NA	60.92715232
chr2:127289520-127289688	187	ERCC3	18	chr2	127289520	127289688	chr2	127289502	127289688	-	C3SS Upstream	Gblock	NA	47.68211921
chr20:35556272-35556954	719	ERGIC3	36	chr20	35556272	35556954	chr20	35556272	35556990	+	C3SS Upstream	Gblock	NA	66.22516556
chr2:169531509-169537226	5736	FASTKD1	18	chr2	169531509	169537226	chr2	169531491	169537226	-	C3SS Upstream	Gblock	NA	28.47682119
chr2:73264444-73265281	190	FBXO41	76	chr2	73264444	73265281	chr2	73264521	73265281	-	C3SS Downstream	Gblock	NA	65.56291391
chr11:126273080-126273315	256	FOXRED1	20	chr11	126273080	126273315	chr11	126273080	126273335	+	C3SS Upstream	Gblock	NA	57.61589404
chr2:108485909-108486498	602	GCC2	12	chr2	108485909	108486498	chr2	108485909	108486510	+	C3SS Upstream	Gblock	NA	25.82781457
chr9:35813157-35813265	120	HINT2	11	chr9	35813157	35813265	chr9	35813146	35813265	-	C3SS Upstream	Gblock	NA	49.66887417
chr3:149041681-149042165	495	HLTF	12	chr3	149041681	149042165	chr3	149041669	149042165	-	C3SS Upstream	Gblock	NA	30.46357616
chr4:3140657-3142744	2109	HTT	21	chr4	3140657	3142744	chr4	3140657	3142765	+	C3SS Upstream	Gblock	NA	23.8410596
chr11:72228499-72228646	228	INPPL1	80	chr11	72228499	72228646	chr11	72228499	72228726	+	C3SS Upstream	Gblock	NA	60.92715232
chr12:26917460-26917643	202	INTS13	18	chr12	26917460	26917643	chr12	26917442	26917643	-	C3SS Upstream	Not Gblock	Bad	28.47682119
chr1:156562675-156563133	466	IQGAP3	9	chr1	156562675	156563133	chr1	156562666	156563133	-	C3SS Upstream	Gblock	NA	47.68211921
chr3:122433806-122437169	3381	KPNA1	17	chr3	122433806	122437169	chr3	122433789	122437169	-	C3SS Upstream	Gblock	NA	25.16556291
chr6:90560235-90561621	1407	MAP3K7	20	chr6	90560235	90561621	chr6	90560215	90561621	-	C3SS Upstream	Gblock	NA	29.8013245
chr12:115975350-115975514	201	MED13L	36	chr12	115975350	115975514	chr12	115975314	115975514	-	C3SS Upstream	Gblock	NA	31.78807947
chr11:94459599-94460935	510	MRE11	17	chr11	94459599	94460935	chr11	94459582	94460935	-	C3SS Upstream	Gblock	NA	31.12582781
chr12:106985226-106986968	1753	MTERF2	10	chr12	106985226	106986968	chr12	106985216	106986968	-	C3SS Upstream	Gblock	NA	47.01986755
chr17:47223058-47223495	451	MYL4	13	chr17	47223058	47223495	chr17	47223058	47223508	+	C3SS Upstream	Gblock	NA	56.95364238
chr13:41372831-41373636	937	NAA16	131	chr13	41372831	41373636	chr13	41372831	41373767	+	C3SS Downstream	Gblock	NA	43.04635762
chr11:2972280-2976023	3778	NAP1L4	36	chr11	2972280	2976023	chr11	2972244	2976023	-	C3SS Upstream	Gblock	NA	31.12582781
chr20:36653724-36656359	2658	NDRG3	22	chr20	36653724	36656359	chr20	36653702	36656359	-	C3SS Upstream	Gblock	NA	44.37086093
chr10:5455119-5456064	968	NET1	22	chr10	5455119	5456064	chr10	5455119	5456086	+	C3SS Upstream	Gblock	NA	29.13907285
chr3:42632824-42633617	804	NKTR	10	chr3	42632824	42633617	chr3	42632824	42633627	+	C3SS Upstream	Gblock	NA	31.12582781
chr11:3676390-3676508	132	NUP98	13	chr11	3676390	3676508	chr11	3676377	3676508	-	C3SS Upstream	Gblock	NA	49.66887417
chr7:102433662-102436201	2563	ORAI2	23	chr7	102433662	102436201	chr7	102433662	102436224	+	C3SS Upstream	Gblock	NA	47.01986755
chr14:22768172-22769776	1619	OXA1L	14	chr14	22768172	22769776	chr14	22768172	22769790	+	C3SS Upstream	Gblock	NA	42.38410596
chr4:39910357-39913610	3272	PDS5A	18	chr4	39910357	39913610	chr4	39910339	39913610	-	C3SS Upstream	Gblock	NA	27.81456954
chr6:28281919-28283755	1857	PGBD1	20	chr6	28281919	28283755	chr6	28281919	28283775	+	C3SS Upstream	Gblock	NA	35.09933775
chr1:119734767-119735106	528	PHGDH	188	chr1	119734767	119735106	chr1	119734767	119735294	+	C3SS Upstream	Gblock	NA	50.33112583
chr3:129566030-129566526	505	PLXND1	12	chr3	129566030	129566526	chr3	129566018	129566526	-	C3SS Upstream	Gblock	NA	57.61589404
chr1:212342281-212345789	3522	PPP2R5A	13	chr1	212342281	212345789	chr1	212342281	212345802	+	C3SS Upstream	Gblock	NA	27.81456954
chr11:68596219-68600320	4122	PPP6R3	20	chr11	68596219	68600320	chr11	68596219	68600340	+	C3SS Upstream	Gblock	NA	47.01986755
chr1:52414648-52414740	112	PRPF38A	21	chr1	52414648	52414740	chr1	52414648	52414761	+	C3SS Upstream	Gblock	NA	47.01986755
chr9:122997362-122998575	1235	RABGAP1	21	chr9	122997362	122998575	chr9	122997362	122998596	+	C3SS Upstream	Gblock	NA	25.82781457
chr9:122261509-122264714	3216	RBM18	10	chr9	122261509	122264714	chr9	122261499	122264714	-	C3SS Downstream	Gblock	NA	47.01986755
chr9:36351220-36352741	1540	RNF38	20	chr9	36351220	36352741	chr9	36351200	36352741	-	C3SS Upstream	Gblock	NA	34.43708609
chr18:36025679-36026899	1221	RPRD1A	0	chr18	36025679	36026899	chr18	36025679	36026899	-	APA	Gblock	NA	31.12582781
chr17:59940944-59945384	4462	RPS6KB1	21	chr17	59940944	59945384	chr17	59940944	59945405	+	C3SS Upstream	Gblock	NA	43.04635762
chr4:183655975-183658928	2967	RWDD4	13	chr4	183655975	183658928	chr4	183655962	183658928	-	C3SS Upstream	Gblock	NA	33.77483444
chr19:5595511-5598792	3295	SAFB2	13	chr19	5595511	5598792	chr19	5595498	5598792	-	C3SS Upstream	Gblock	NA	48.34437086
chr1:67424978-67425082	123	SERBP1	18	chr1	67424978	67425082	chr1	67424960	67425082	-	C3SS Upstream	Gblock	NA	27.81456954
chr6:31968539-31968622	147	SKIV2L	63	chr6	31968539	31968622	chr6	31968539	31968685	+	C3SS Upstream	Gblock	NA	62.91390728
chr15:58917021-58932355	15356	SLTM	21	chr15	58917021	58932355	chr15	58917000	58932355	-	C3SS Upstream	Gblock	NA	37.08609272
chr14:77737096-77738777	1702	SNW1	20	chr14	77737096	77738777	chr14	77737076	77738777	-	C3SS Upstream	Gblock	NA	30.46357616
chr2:39058828-39067627	8821	SOS1	23	chr2	39058828	39067627	chr2	39058805	39067627	-	C3SS Upstream	Gblock	NA	25.16556291
chr14:95436982-95439032	2064	SYNE3	15	chr14	95436982	95439032	chr14	95436967	95439032	-	C3SS Upstream	Gblock	NA	58.94039735
chr6:10723242-10724555	1328	TMEM14C	14	chr6	10723242	10724555	chr6	10723242	10724569	+	C3SS Upstream	Gblock	NA	47.01986755
chr1:225848615-225848896	342	TMEM63A	60	chr1	225848615	225848896	chr1	225848555	225848896	-	C3SS Upstream	Gblock	NA	58.2781457
chr7:129005177-129014978	2862	TNPO3	17	chr7	129005177	129014978	chr7	129005160	129014978	-	C3SS Upstream	Gblock	NA	25.16556291
chr13:102645010-102646279	1284	TPP2	14	chr13	102645010	102646279	chr13	102645010	102646293	+	C3SS Upstream	Gblock	NA	31.78807947
chr21:37198026-37200213	2206	TTC3	18	chr21	37198026	37200213	chr21	37198026	37200231	+	C3SS Upstream	Gblock	NA	34.43708609
chrX:47199615-47200409	1279	UBA1	484	chrX	47199615	47200409	chrX	47199615	47200893	+	Novel_Exon	Gblock	NA	47.68211921
chr3:49811092-49811272	192	UBA7	11	chr3	49811092	49811272	chr3	49811081	49811272	-	C3SS Downstream	Gblock	NA	62.91390728
chr1:19153955-19154917	978	UBR4	15	chr1	19153955	19154917	chr1	19153940	19154917	-	C3SS Upstream	Gblock	NA	43.04635762
chr3:49112403-49112488	95	USP19	9	chr3	49112403	49112488	chr3	49112394	49112488	-	C3SS Downstream	Gblock	NA	60.26490066
chr2:106164800-106166055	1271	UXS1	15	chr2	106164800	106166055	chr2	106164785	106166055	-	C3SS Upstream	Gblock	NA	42.38410596
chr12:105120598-105121088	503	WASHC4	12	chr12	105120598	105121088	chr12	105120598	105121100	+	C3SS Upstream	Gblock	NA	32.45033113
chr8:125038977-125039794	835	WASHC5	17	chr8	125038977	125039794	chr8	125038960	125039794	-	C3SS Upstream	Gblock	NA	35.7615894
chr3:101654822-101656103	1328	ZBTB11	46	chr3	101654822	101656103	chr3	101654776	101656103	-	C3SS Downstream	Gblock	NA	43.70860927
chr10:97454800-97455638	914	ZDHHC16	21	chr10	97454800	97455638	chr10	97454800	97455659	+	C3SS Upstream	Gblock	Real	41.7218543
chr19:23362740-23373741	11016	ZNF91	14	chr19	23362740	23373741	chr19	23362726	23373741	-	C3SS Upstream	Gblock	NA	27.15231788
