splice_id	chr	strand	c3ss_length	c3ss	can_ss	intron_length	five_ss	GC_content	length
CAMTA2:chr17:4982088:4982175:4982088:4982160:4982756:4982892:-	chr17	-	15	4982175	4982160	581	4982756	59.6026490066225	151
CARD8:chr19:48231659:48231824:48231659:48231810:48232452:48234543:-	chr19	-	14	48231824	48231810	628	48232452	47.0198675496689	151
CASD1:chr7:94533188:94533249:94533204:94533249:94528187:94528250:+	chr7	+	16	94533189	94533205	4938	94528251	23.1788079470199	151
CBARP:chr19:1235000:1235342:1235000:1235145:1235500:1235565:-	chr19	-	197	1235342	1235145	158	1235500	68.2119205298013	151
CC2D1A:chr19:13920556:13920668:13920559:13920668:13919817:13919951:+	chr19	+	3	13920557	13920560	605	13919952	54.9668874172185	151
CC2D1A:chr19:13923317:13923399:13923332:13923399:13920749:13920922:+	chr19	+	15	13923318	13923333	2395	13920923	54.9668874172185	151
CCDC112:chr5:115284786:115284908:115284786:115284891:115296426:115296693:-	chr5	-	17	115284908	115284891	11518	115296426	30.4635761589404	151
CCDC66:chr3:56615903:56616053:56615921:56616053:56615127:56615272:+	chr3	+	18	56615904	56615922	631	56615273	27.1523178807947	151
CD72:chr9:35615942:35616278:35615942:35616270:35616599:35616689:-	chr9	-	8	35616278	35616270	321	35616599	47.682119205298	151
CDC27:chr17:47138738:47138906:47138738:47138891:47141852:47142025:-	chr17	-	15	47138906	47138891	2946	47141852	33.7748344370861	151
CDC27:chr17:47151805:47151936:47151805:47151918:47154671:47154786:-	chr17	-	18	47151936	47151918	2735	47154671	30.4635761589404	151
CDC7:chr1:91501636:91501831:91501653:91501831:91500850:91500948:+	chr1	+	17	91501637	91501654	688	91500949	44.3708609271523	151
CEP135:chr4:56009712:56009903:56009734:56009903:56008326:56008382:+	chr4	+	22	56009713	56009735	1330	56008383	24.5033112582781	151
CEP295:chr11:93729610:93729781:93729613:93729781:93729433:93729530:+	chr11	+	3	93729611	93729614	80	93729531	43.046357615894	151
CEP350:chr1:180024418:180024582:180024430:180024582:180022697:180022848:+	chr1	+	12	180024419	180024431	1570	180022849	25.8278145695364	151
CHMP1A:chr16:89646526:89646733:89646526:89646714:89647202:89647331:-	chr16	-	19	89646733	89646714	469	89647202	58.2781456953642	151
CHTF18:chr16:794033:794192:794053:794192:793143:793274:+	chr16	+	20	794034	794054	759	793275	62.9139072847682	151
CHTF18:chr16:794039:794201:794053:794201:793143:793274:+	chr16	+	14	794040	794054	765	793275	61.5894039735099	151
CHURC1-FNTB:chr14:64925990:64926080:64926006:64926080:64924035:64924126:+	chr14	+	16	64925991	64926007	1864	64924127	25.8278145695364	151
CLASRP:chr19:45069635:45070104:45069985:45070104:45069201:45069248:+	chr19	+	350	45069636	45069986	387	45069249	52.9801324503311	151
CLINT1:chr5:157789362:157789567:157789362:157789513:157791702:157791995:-	chr5	-	54	157789567	157789513	2135	157791702	31.1258278145695	151
CLSPN:chr1:35746765:35746992:35746765:35746977:35747906:35748061:-	chr1	-	15	35746992	35746977	914	35747906	55.6291390728477	151
CNTRL:chr9:121173242:121173509:121173356:121173509:121169610:121169816:+	chr9	+	114	121173243	121173357	3426	121169817	29.1390728476821	151
CNTRL:chr9:121173242:121173509:121173356:121173509:121171407:121171548:+	chr9	+	114	121173243	121173357	1694	121171549	29.1390728476821	151
CNTRL:chr9:121173242:121173509:121173366:121173509:121171407:121171548:+	chr9	+	124	121173243	121173367	1694	121171549	29.1390728476821	151
COASY:chr17:42562295:42562487:42562355:42562487:42562150:42562219:+	chr17	+	60	42562296	42562356	76	42562220	60.2649006622517	151
COMT:chr22:19962232:19962815:19962658:19962815:19961198:19961289:+	chr22	+	426	19962233	19962659	943	19961290	58.2781456953642	151
COMT:chr22:19962526:19962815:19962658:19962815:19961198:19961289:+	chr22	+	132	19962527	19962659	1237	19961290	63.5761589403974	151
COMT:chr22:19962557:19962815:19962658:19962815:19961198:19961289:+	chr22	+	101	19962558	19962659	1268	19961290	66.887417218543	151
COPS2:chr15:49128701:49128773:49128701:49128760:49129476:49129559:-	chr15	-	13	49128773	49128760	703	49129476	22.5165562913907	151
COQ2:chr4:83267585:83267797:83267585:83267774:83269859:83269993:-	chr4	-	23	83267797	83267774	2062	83269859	29.8013245033113	151
COQ4:chr9:128332152:128332282:128332165:128332282:128325778:128325881:+	chr9	+	13	128332153	128332166	6271	128325882	55.6291390728477	151
CPNE7:chr16:89585396:89585553:89585463:89585553:89584820:89584857:+	chr16	+	67	89585397	89585464	539	89584858	68.8741721854305	151
CPSF4:chr7:99454040:99454136:99454043:99454136:99452367:99452440:+	chr7	+	3	99454041	99454044	1600	99452441	46.3576158940397	151
CRNDE:chr16:54920297:54920410:54920297:54920327:54923584:54923650:-	chr16	-	83	54920410	54920327	3174	54923584	27.1523178807947	151
CRNDE:chr16:54920297:54920410:54920297:54920338:54923584:54923650:-	chr16	-	72	54920410	54920338	3174	54923584	27.1523178807947	151
CSF2RB:chr22:36935314:36935441:36935350:36935441:36933831:36933994:+	chr22	+	36	36935315	36935351	1320	36933995	60.2649006622517	151
CTSF:chr11:66564087:66564238:66564087:66564146:66564557:66564648:-	chr11	-	92	66564238	66564146	319	66564557	58.2781456953642	151
CTSF:chr11:66564087:66564241:66564087:66564146:66564557:66564648:-	chr11	-	95	66564241	66564146	316	66564557	57.6158940397351	151
CXXC1:chr18:50284923:50285351:50284923:50285247:50285748:50285928:-	chr18	-	104	50285351	50285247	397	50285748	66.887417218543	151
DDHD2:chr8:38238088:38238209:38238106:38238209:38237537:38237627:+	chr8	+	18	38238089	38238107	461	38237628	33.112582781457	151
DDX12P:chr12:9421387:9421546:9421387:9421491:9421817:9421890:-	chr12	-	55	9421546	9421491	271	9421817	62.9139072847682	151
DDX49:chr19:18924214:18924699:18924622:18924699:18922709:18922744:+	chr19	+	408	18924215	18924623	1470	18922745	61.5894039735099	151
DERL3:chr22:23834502:23834979:23834502:23834932:23837063:23837154:-	chr22	-	47	23834979	23834932	2084	23837063	64.2384105960265	151
DGCR2:chr22:19056985:19057186:19056985:19057162:19063201:19063278:-	chr22	-	24	19057186	19057162	6015	19063201	58.9403973509934	151
DICER1:chr14:95129471:95129650:95129471:95129632:95130057:95130192:-	chr14	-	18	95129650	95129632	407	95130057	30.4635761589404	151
DIP2A:chr21:46551616:46551743:46551633:46551743:46550542:46550744:+	chr21	+	17	46551617	46551634	872	46550745	29.8013245033113	151
DISP1:chr1:222836922:222837384:222837218:222837384:222835118:222835215:+	chr1	+	296	222836923	222837219	1707	222835216	37.0860927152318	151
DLG1:chr3:197065275:197065464:197065275:197065448:197065707:197065809:-	chr3	-	16	197065464	197065448	243	197065707	27.1523178807947	151
DLST:chr14:74889877:74889952:74889896:74889952:74889274:74889349:+	chr14	+	19	74889878	74889897	528	74889350	46.3576158940397	151
DNAH1:chr3:52364832:52365019:52364877:52365019:52364637:52364724:+	chr3	+	45	52364833	52364878	108	52364725	65.5629139072848	151
DNAJC3:chr13:95757624:95757796:95757643:95757796:95725177:95725252:+	chr13	+	19	95757625	95757644	32372	95725253	38.4105960264901	151
DPH5:chr1:100992636:100992754:100992636:100992740:100995109:100995149:-	chr1	-	14	100992754	100992740	2355	100995109	34.4370860927152	151
DPH5:chr1:101001466:101001587:101001466:101001544:101013709:101013818:-	chr1	-	43	101001587	101001544	12122	101013709	28.476821192053	151
DPY19L4:chr8:94787868:94787995:94787893:94787995:94783669:94783802:+	chr8	+	25	94787869	94787894	4066	94783803	17.8807947019868	151
DRG2:chr17:18104543:18104681:18104622:18104681:18103800:18103889:+	chr17	+	79	18104544	18104623	654	18103890	51.6556291390728	151
DUSP22:chr6:350802:350928:350821:350928:348768:348841:+	chr6	+	19	350803	350822	1961	348842	29.8013245033113	151
DVL2:chr17:7227654:7227783:7227654:7227711:7227976:7228044:-	chr17	-	72	7227783	7227711	193	7227976	62.2516556291391	151
EAPP:chr14:34529355:34529475:34529355:34529470:34533443:34533539:-	chr14	-	5	34529475	34529470	3968	34533443	34.4370860927152	151
ECT2:chr3:172762397:172762546:172762415:172762546:172761609:172761683:+	chr3	+	18	172762398	172762416	714	172761684	27.8145695364238	151
EFTUD2:chr17:44852408:44852582:44852408:44852562:44853516:44854356:-	chr17	-	20	44852582	44852562	934	44853516	45.0331125827815	151
EHMT1:chr9:137743370:137743528:137743391:137743528:137728348:137728529:+	chr9	+	21	137743371	137743392	14841	137728530	39.0728476821192	151
EI24:chr11:125575250:125575408:125575262:125575408:125572457:125572569:+	chr11	+	12	125575251	125575263	2681	125572570	45.0331125827815	151
ELP2:chr18:36145933:36146048:36145947:36146048:36144938:36145034:+	chr18	+	14	36145934	36145948	899	36145035	35.0993377483444	151
EML3:chr11:62608735:62608826:62608735:62608805:62608961:62609132:-	chr11	-	21	62608826	62608805	135	62608961	56.953642384106	151
ENOX2:chrX:130637228:130637410:130637228:130637404:130656580:130656695:-	chrX	-	6	130637410	130637404	19170	130656580	36.4238410596026	151
ENSG00000124593:chr6:41781349:41781520:41781483:41781520:41780771:41780826:+	chr6	+	134	41781350	41781484	523	41780827	48.3443708609272	151
ENSG00000242588:chr7:128577952:128578033:128577963:128578033:128574750:128574791:+	chr7	+	11	128577953	128577964	3161	128574792	32.4503311258278	151
ENSG00000244560:chr7:149293354:149293492:149293376:149293492:149292210:149292308:+	chr7	+	22	149293355	149293377	1046	149292309	56.2913907284768	151
ENSG00000255339:chr10:100516873:100516977:100516873:100516960:100526398:100526554:-	chr10	-	17	100516977	100516960	9421	100526398	46.3576158940397	151
ENSG00000259529:chr14:24151130:24151379:24151208:24151379:24150597:24150888:+	chr14	+	78	24151131	24151209	242	24150889	54.3046357615894	151
ENSG00000262304:chr17:3615336:3615574:3615336:3615537:3621236:3621412:-	chr17	-	37	3615574	3615537	5662	3621236	54.9668874172185	151
ENSG00000272916:chr10:73806656:73806831:73806656:73806811:73807107:73807195:-	chr10	-	20	73806831	73806811	276	73807107	50.9933774834437	151
ENSG00000272980:chr6:167039903:167040339:167040047:167040339:167033874:167033971:+	chr6	+	144	167039904	167040048	5932	167033972	29.1390728476821	151
ENSG00000285645:chr9:35812959:35813156:35812959:35813145:35813265:35813338:-	chr9	-	11	35813156	35813145	109	35813265	50.3311258278146	151
ENSG00000288208:chr1:45333284:45333594:45333284:45333324:45334390:45334511:-	chr1	-	270	45333594	45333324	796	45334390	53.6423841059603	151
ERGIC3:chr20:35556596:35557066:35556990:35557066:35556206:35556271:+	chr20	+	394	35556597	35556991	325	35556272	59.6026490066225	151
ERGIC3:chr20:35556876:35557109:35556954:35557109:35556206:35556271:+	chr20	+	78	35556877	35556955	605	35556272	59.6026490066225	151
ERGIC3:chr20:35556876:35557109:35556990:35557109:35556206:35556271:+	chr20	+	114	35556877	35556991	605	35556272	59.6026490066225	151
ERGIC3:chr20:35556954:35557109:35556972:35557109:35556206:35556271:+	chr20	+	18	35556955	35556973	683	35556272	66.2251655629139	151
ERVK3-1:chr19:58312027:58312462:58312165:58312462:58306087:58306216:+	chr19	+	138	58312028	58312166	5811	58306217	40.3973509933775	151
ESPL1:chr12:53274789:53275010:53274816:53275010:53272720:53272857:+	chr12	+	27	53274790	53274817	1932	53272858	54.9668874172185	151
EXOSC7:chr3:45005275:45005375:45005290:45005375:45001537:45001608:+	chr3	+	15	45005276	45005291	3667	45001609	40.3973509933775	151
FAM126B:chr2:200988261:200988440:200988261:200988421:200992280:200992368:-	chr2	-	19	200988440	200988421	3840	200992280	24.5033112582781	151
FAM13B:chr5:137948954:137949184:137948954:137949111:137952627:137952709:-	chr5	-	73	137949184	137949111	3443	137952627	31.1258278145695	151
FAM3A:chrX:154508473:154508811:154508473:154508652:154511847:154511871:-	chrX	-	159	154508811	154508652	3036	154511847	58.9403973509934	151
FANCD2:chr3:10047883:10048051:10047916:10048051:10046579:10046723:+	chr3	+	33	10047884	10047917	1160	10046724	35.7615894039735	151
FAR2:chr12:29307633:29307835:29307657:29307835:29297020:29297200:+	chr12	+	24	29307634	29307658	10433	29297201	37.7483443708609	151
FASTKD1:chr2:169531351:169531508:169531351:169531490:169537226:169537340:-	chr2	-	18	169531508	169531490	5718	169537226	28.476821192053	151
FBXO41:chr2:73264277:73264519:73264277:73264443:73265281:73265640:-	chr2	-	76	73264519	73264443	762	73265281	59.6026490066225	151
FBXW2:chr9:120787768:120788278:120787768:120788186:120793148:120793257:-	chr9	-	92	120788278	120788186	4870	120793148	31.1258278145695	151
FIG4:chr6:109764998:109765161:109765012:109765161:109763936:109763982:+	chr6	+	14	109764999	109765013	1016	109763983	26.4900662251656	151
FKBP15:chr9:113171580:113171722:113171580:113171706:113173452:113173605:-	chr9	-	16	113171722	113171706	1730	113173452	32.4503311258278	151
FLT3LG:chr19:49476116:49476198:49476144:49476198:49475690:49475801:+	chr19	+	28	49476117	49476145	315	49475802	54.9668874172185	151
FMNL1:chr17:45240475:45240625:45240508:45240625:45238954:45239065:+	chr17	+	33	45240476	45240509	1410	45239066	52.317880794702	151
FOXRED1:chr11:126273315:126273454:126273335:126273454:126272968:126273079:+	chr11	+	20	126273316	126273336	236	126273080	57.6158940397351	151
GALK2:chr15:49281971:49282067:49281986:49282067:49239220:49239367:+	chr15	+	15	49281972	49281987	42604	49239368	41.0596026490066	151
GCC2:chr2:108486498:108486648:108486510:108486648:108485830:108485908:+	chr2	+	12	108486499	108486511	590	108485909	25.8278145695364	151
GCLC:chr6:53516108:53516240:53516108:53516222:53520777:53520960:-	chr6	-	18	53516240	53516222	4537	53520777	39.0728476821192	151
GORASP1:chr3:39100304:39100503:39100304:39100454:39100746:39100877:-	chr3	-	49	39100503	39100454	243	39100746	57.6158940397351	151
GORASP1:chr3:39100304:39100503:39100304:39100454:39100787:39101102:-	chr3	-	49	39100503	39100454	284	39100787	57.6158940397351	151
GPR108:chr19:6730986:6731111:6730986:6731054:6731198:6731282:-	chr19	-	57	6731111	6731054	87	6731198	72.8476821192053	151
GTF2I:chr7:74718860:74718941:74718878:74718941:74716893:74716950:+	chr7	+	18	74718861	74718879	1910	74716951	27.1523178807947	151
GUK1:chr1:228148060:228148439:228148357:228148439:228147620:228147699:+	chr1	+	297	228148061	228148358	361	228147700	60.2649006622517	151
GUK1:chr1:228148101:228148439:228148357:228148439:228147620:228147699:+	chr1	+	256	228148102	228148358	402	228147700	56.2913907284768	151
GUK1:chr1:228148357:228148539:228148370:228148539:228147620:228147699:+	chr1	+	13	228148358	228148371	658	228147700	71.523178807947	151
HACL1:chr3:15572766:15573259:15572766:15573242:15574976:15575082:-	chr3	-	17	15573259	15573242	1717	15574976	26.4900662251656	151
HAUS4:chr14:22947867:22948033:22947867:22948013:22950313:22950410:-	chr14	-	20	22948033	22948013	2280	22950313	45.0331125827815	151
HDAC1:chr1:32332660:32332749:32332703:32332749:32332089:32332242:+	chr1	+	43	32332661	32332704	418	32332243	54.3046357615894	151
HDAC10:chr22:50245674:50245827:50245674:50245812:50245909:50246092:-	chr22	-	15	50245827	50245812	82	50245909	67.5496688741722	151
HDGFL3:chr15:83157902:83158041:83157902:83158030:83163998:83164075:-	chr15	-	11	83158041	83158030	5957	83163998	33.112582781457	151
HECTD2:chr10:91485164:91485303:91485179:91485303:91484506:91484655:+	chr10	+	15	91485165	91485180	509	91484656	27.8145695364238	151
HECTD3:chr1:45008239:45008339:45008239:45008321:45008535:45008701:-	chr1	-	18	45008339	45008321	196	45008535	50.9933774834437	151
HELLS:chr10:94546360:94546498:94546376:94546498:94545789:94545907:+	chr10	+	16	94546361	94546377	453	94545908	45.6953642384106	151
HELQ:chr4:83436846:83437110:83436846:83437097:83439862:83440008:-	chr4	-	13	83437110	83437097	2752	83439862	26.4900662251656	151
HELQ:chr4:83446834:83447035:83446834:83447028:83448782:83448961:-	chr4	-	7	83447035	83447028	1747	83448782	47.682119205298	151
HERC2:chr15:28274290:28274447:28274290:28274412:28274904:28275005:-	chr15	-	35	28274447	28274412	457	28274904	61.5894039735099	151
HIP1:chr7:75563187:75563281:75563187:75563263:75568198:75568256:-	chr7	-	18	75563281	75563263	4917	75568198	56.2913907284768	151
HLTF:chr3:149041489:149041680:149041489:149041668:149042165:149042290:-	chr3	-	12	149041680	149041668	485	149042165	30.4635761589404	151
HSF4:chr16:67167460:67167599:67167474:67167599:67167119:67167222:+	chr16	+	14	67167461	67167475	238	67167223	64.2384105960265	151
HSH2D:chr19:16154337:16154491:16154398:16154491:16153042:16153208:+	chr19	+	61	16154338	16154399	1129	16153209	50.3311258278146	151
HSPBP1:chr19:55265277:55265378:55265277:55265367:55265885:55265982:-	chr19	-	11	55265378	55265367	507	55265885	63.5761589403974	151
HSPBP1:chr19:55265277:55265389:55265277:55265378:55265885:55265982:-	chr19	-	11	55265389	55265378	496	55265885	64.2384105960265	151
HTD2:chr3:58315700:58315819:58315721:58315819:58310506:58310591:+	chr3	+	21	58315701	58315722	5109	58310592	35.0993377483444	151
HTT:chr4:3142744:3142886:3142765:3142886:3140509:3140656:+	chr4	+	21	3142745	3142766	2088	3140657	23.841059602649	151
IDS:chrX:149502074:149502177:149502074:149502134:149503311:149503489:-	chrX	-	43	149502177	149502134	1134	149503311	51.6556291390728	151
IDUA:chr4:1001650:1001715:1001678:1001715:1001467:1001563:+	chr4	+	28	1001651	1001679	87	1001564	61.5894039735099	151
IFT122:chr3:129495445:129495607:129495491:129495607:129492140:129492194:+	chr3	+	46	129495446	129495492	3251	129492195	52.9801324503311	151
IL17RC:chr3:9920466:9920602:9920490:9920602:9918534:9918609:+	chr3	+	24	9920467	9920491	1857	9918610	52.317880794702	151
IMMT:chr2:86171207:86171336:86171207:86171312:86173649:86173762:-	chr2	-	24	86171336	86171312	2313	86173649	36.4238410596026	151
IMMT:chr2:86171207:86171345:86171207:86171312:86173649:86173761:-	chr2	-	33	86171345	86171312	2304	86173649	35.7615894039735	151
INF2:chr14:104710881:104711007:104710918:104711007:104710087:104710188:+	chr14	+	37	104710882	104710919	693	104710189	67.5496688741722	151
INPPL1:chr11:72228646:72228847:72228726:72228847:72228467:72228498:+	chr11	+	80	72228647	72228727	148	72228499	60.2649006622517	151
IPO7:chr11:9433720:9433846:9433782:9433846:9430874:9431003:+	chr11	+	62	9433721	9433783	2717	9431004	36.4238410596026	151
IQGAP3:chr1:156562264:156562674:156562264:156562665:156563133:156563312:-	chr1	-	9	156562674	156562665	459	156563133	47.0198675496689	151
ITSN2:chr2:24315131:24315245:24315131:24315224:24328051:24328115:-	chr2	-	21	24315245	24315224	12806	24328051	31.1258278145695	151
JMJD7-PLA2G4B:chr15:41834739:41835223:41834969:41835223:41828115:41828188:+	chr15	+	230	41834740	41834970	6551	41828189	54.9668874172185	151
JMY:chr5:79314256:79314851:79314369:79314851:79312402:79312498:+	chr5	+	113	79314257	79314370	1758	79312499	41.0596026490066	151
JMY:chr5:79314256:79314851:79314379:79314851:79312402:79312498:+	chr5	+	123	79314257	79314380	1758	79312499	41.0596026490066	151
KANSL3:chr2:96619671:96619776:96619671:96619762:96631311:96631543:-	chr2	-	14	96619776	96619762	11535	96631311	40.3973509933775	151
KDM1A:chr1:23073273:23073403:23073291:23073403:23072123:23072197:+	chr1	+	18	23073274	23073292	1076	23072198	35.0993377483444	151
KDM3A:chr2:86478582:86478735:86478607:86478735:86478169:86478265:+	chr2	+	25	86478583	86478608	317	86478266	43.7086092715232	151
KIAA1143:chr3:44753344:44753607:44753344:44753578:44754223:44754368:-	chr3	-	29	44753607	44753578	616	44754223	32.4503311258278	151
KIF18B:chr17:44932055:44932403:44932055:44932206:44932672:44932773:-	chr17	-	197	44932403	44932206	269	44932672	52.317880794702	151
KIF20A:chr5:138184238:138184404:138184294:138184404:138183961:138184105:+	chr5	+	56	138184239	138184295	133	138184106	49.6688741721854	151
KLHDC4:chr16:87730551:87730659:87730551:87730644:87748672:87748809:-	chr16	-	15	87730659	87730644	18013	87748672	31.7880794701987	151
KPNA1:chr3:122433660:122433805:122433660:122433788:122437169:122437295:-	chr3	-	17	122433805	122433788	3364	122437169	25.1655629139073	151
KTN1:chr14:55634512:55634658:55634525:55634658:55633234:55633341:+	chr14	+	13	55634513	55634526	1171	55633342	32.4503311258278	151
LARP4:chr12:50428916:50429090:50428934:50429090:50427761:50427909:+	chr12	+	18	50428917	50428935	1007	50427910	33.7748344370861	151
LETMD1:chr12:51053777:51053860:51053811:51053860:51049033:51049185:+	chr12	+	34	51053778	51053812	4592	51049186	35.0993377483444	151
LIG3:chr17:34994253:34994429:34994275:34994429:34992523:34992692:+	chr17	+	22	34994254	34994276	1561	34992693	55.6291390728477	151
LRRC23:chr12:6882179:6882327:6882195:6882327:6873681:6873781:+	chr12	+	16	6882180	6882196	8398	6873782	35.7615894039735	151
MAN2A1:chr5:109847627:109847719:109847656:109847719:109845864:109846006:+	chr5	+	29	109847628	109847657	1621	109846007	38.4105960264901	151
MAP2K7:chr19:7911414:7911578:7911435:7911578:7911249:7911330:+	chr19	+	21	7911415	7911436	84	7911331	63.5761589403974	151
MAP3K7:chr6:90560075:90560234:90560075:90560214:90561621:90561667:-	chr6	-	20	90560234	90560214	1387	90561621	29.1390728476821	151
MARK2:chr11:63902600:63902782:63902603:63902782:63902197:63902330:+	chr11	+	3	63902601	63902604	270	63902331	62.2516556291391	151
MCM3AP:chr21:46261279:46261411:46261279:46261376:46264116:46264217:-	chr21	-	35	46261411	46261376	2705	46264116	54.3046357615894	151
MED13L:chr12:115975170:115975349:115975170:115975313:115975514:115975738:-	chr12	-	36	115975349	115975313	165	115975514	32.4503311258278	151
MED6:chr14:70592879:70593009:70592879:70592988:70593295:70593378:-	chr14	-	21	70593009	70592988	286	70593295	30.4635761589404	151
METTL26:chr16:634888:635063:634888:635012:635280:635340:-	chr16	-	51	635063	635012	217	635280	69.5364238410596	151
METTL26:chr16:634888:635063:634888:635022:635280:635340:-	chr16	-	41	635063	635022	217	635280	69.5364238410596	151
METTL5:chr2:169812456:169812524:169812456:169812506:169815476:169815528:-	chr2	-	18	169812524	169812506	2952	169815476	34.4370860927152	151
MFN1:chr3:179348844:179348963:179348847:179348963:179347734:179347810:+	chr3	+	3	179348845	179348848	1034	179347811	36.4238410596026	151
MICAL1:chr6:109445415:109445901:109445415:109445875:109446135:109446772:-	chr6	-	26	109445901	109445875	234	109446135	57.6158940397351	151
MICAL1:chr6:109445770:109445875:109445770:109445862:109446135:109446772:-	chr6	-	13	109445875	109445862	260	109446135	56.2913907284768	151
MICAL1:chr6:109445770:109445952:109445770:109445862:109446135:109446772:-	chr6	-	90	109445952	109445862	183	109446135	55.6291390728477	151
MICAL1:chr6:109445770:109445952:109445770:109445875:109446135:109446772:-	chr6	-	77	109445952	109445875	183	109446135	55.6291390728477	151
