ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	type	median_IJC_SAMPLE_1	median_SJC_SAMPLE_1	median_IJC_SAMPLE_2	median_SJC_SAMPLE_2	sample	splice_id
24425	ENSG00000223959.9	AFG3L1P	chr16	+	89977638	89977802	89977714	89977802	89972647	89972765	24425	24,60,5,5,3,5,13,9	0,17,3,0,4,1,2,1	4,16,15,8	0,0,0,0	215	139	6.54E-07	3.93E-05	1.0,0.695,0.519,1.0,0.327,0.764,0.808,0.853	1.0,1.0,1.0,1.0	-0.254	A3SS	7	1.5	11.5	0	MDS	AFG3L1P:chr16:89977638:89977802:89977714:89977802:89972647:89972765:+
9646	ENSG00000131503.21	ANKHD1	chr5	+	140438493	140438617	140438502	140438617	140436103	140436257	9646	252,227,129	83,59,44	15,35,27	106,129,89	158	149	0	0	0.741,0.784,0.734	0.118,0.204,0.222	0.572	A3SS	227	59	27	106	Nalm_6	ANKHD1:chr5:140438493:140438617:140438502:140438617:140436103:140436257:+
9753	ENSG00000131503.21	ANKHD1	chr5	+	140438493	140438617	140438502	140438617	140436103	140436257	9753	61,67,53,62,91,57,25,87	21,17,0,13,31,11,5,12	1,17,15,11	0,17,53,17	148	139	0.000730912	0.016098687	0.732,0.787,1.0,0.817,0.734,0.83,0.824,0.872	1.0,0.484,0.21,0.378	0.306	A3SS	61.5	12.5	13	17	MDS	ANKHD1:chr5:140438493:140438617:140438502:140438617:140436103:140436257:+
2609	ENSG00000166233.15	ARIH1	chr15	+	72570163	72570307	72570176	72570307	72567105	72567177	2609	42,72,26	307,302,172	34,30,42	447,444,427	162	149	6.39E-07	9.77E-05	0.112,0.18,0.122	0.065,0.059,0.083	0.069	A3SS	42	302	34	444	Nalm_6	ARIH1:chr15:72570163:72570307:72570176:72570307:72567105:72567177:+
2636	ENSG00000166233.15	ARIH1	chr15	+	72570163	72570307	72570176	72570307	72567105	72567177	2636	0,45,40,22,64,39,21,43	76,49,116,86,74,82,53,41	0,3,2,1	15,135,297,130	152	139	0	0	0.0,0.456,0.24,0.19,0.442,0.303,0.266,0.49	0.0,0.02,0.006,0.007	0.29	A3SS	39.5	75	1.5	132.5	MDS	ARIH1:chr15:72570163:72570307:72570176:72570307:72567105:72567177:+
37200	ENSG00000135390.21	ATP5MC2	chr12	-	53669870	53669989	53669870	53669952	53672575	53674021	37200	3,5	0,3	1,1	1,6	176	139	0.002255052	0.070111851	1.0,0.568	0.441,0.116	0.506	A3SS	4	1.5	1	3.5	K562_K700E	ATP5MC2:chr12:53669870:53669989:53669870:53669952:53672575:53674021:-
78840	ENSG00000135390.21	ATP5MC2	chr12	-	53669870	53669989	53669870	53669952	53672575	53674021	78840	72,66,32,12,23,36,18,9	0,0,0,0,0,0,0,0	27,7,1,10	9,0,0,0	176	139	0.000707137	0.01562721	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.703,1.0,1.0,1.0	0.074	A3SS	27.5	0	8.5	0	MDS	ATP5MC2:chr12:53669870:53669989:53669870:53669952:53672575:53674021:-
608	ENSG00000171552.14	BCL2L1	chr20	-	31721654	31722348	31721654	31722330	31723734	31723978	608	57,43,29	7,2,0	19,28,31	15,22,12	167	149	8.80E-10	2.30E-07	0.879,0.95,1.0	0.531,0.532,0.697	0.356	A3SS	43	2	28	15	Nalm_6	BCL2L1:chr20:31721654:31722348:31721654:31722330:31723734:31723978:-
564	ENSG00000171552.14	BCL2L1	chr20	-	31721654	31722348	31721654	31722330	31723734	31723978	564	4,5	0,0	2,3	3,3	157	139	1.26E-06	0.000175377	1.0,1.0	0.371,0.47	0.58	A3SS	4.5	0	2.5	3	K562_K700E	BCL2L1:chr20:31721654:31722348:31721654:31722330:31723734:31723978:-
66057	ENSG00000115760.15	BIRC6	chr2	+	32392023	32392150	32392038	32392150	32388810	32388943	66057	17,12,10	67,87,59	0,1,5	68,117,170	164	149	9.05E-12	3.36E-09	0.187,0.111,0.133	0.0,0.008,0.026	0.132	A3SS	12	67	1	117	Nalm_6	BIRC6:chr2:32392023:32392150:32392038:32392150:32388810:32388943:+
68909	ENSG00000115760.15	BIRC6	chr2	+	32392023	32392150	32392038	32392150	32388810	32388943	68909	0,5,22,8,4,7,2,7	31,44,10,28,31,26,13,52	0,0,0,0	27,61,99,50	154	139	3.49E-12	6.87E-10	0.0,0.093,0.665,0.205,0.104,0.195,0.122,0.108	0.0,0.0,0.0,0.0	0.186	A3SS	6	29.5	0	55.5	MDS	BIRC6:chr2:32392023:32392150:32392038:32392150:32388810:32388943:+
29934	ENSG00000271816.1	BMS1P4	chr10	-	73724774	73724838	73724774	73724828	73725960	73726040	29934	3,5,1	6,8,1	2,0,7	0,1,0	159	149	0.000235642	0.014679295	0.319,0.369,0.484	1.0,0.0,1.0	-0.276	A3SS	3	6	2	0	Nalm_6	BMS1P4:chr10:73724774:73724838:73724774:73724828:73725960:73726040:-
19515	ENSG00000271816.1	BMS1P4	chr10	-	73724774	73724838	73724774	73724828	73725960	73726040	19515	1,1	4,6	2,4	0,0	149	139	1.18E-08	3.26E-06	0.189,0.135	1.0,1.0	-0.838	A3SS	1	5	3	0	K562_K700E	BMS1P4:chr10:73724774:73724838:73724774:73724828:73725960:73726040:-
7035	ENSG00000164008.17	C1orf50	chr1	+	42773545	42773649	42773562	42773649	42767508	42767624	7035	5,3	28,19	0,0	10,17	156	139	0.000708722	0.02956981	0.137,0.123	0.0,0.0	0.13	A3SS	4	23.5	0	13.5	K562_K700E	C1orf50:chr1:42773545:42773649:42773562:42773649:42767508:42767624:+
7766	ENSG00000164008.17	C1orf50	chr1	+	42773545	42773649	42773562	42773649	42767508	42767624	7766	19,9,0,5,0,3,1,4	71,44,35,18,24,21,26,21	0,2,0,0	21,42,20,9	156	139	2.17E-06	0.000111597	0.193,0.154,0.0,0.198,0.0,0.113,0.033,0.145	0.0,0.041,0.0,0.0	0.094	A3SS	3.5	25	0	20.5	MDS	C1orf50:chr1:42773545:42773649:42773562:42773649:42767508:42767624:+
18032	ENSG00000099991.18	CABIN1	chr22	+	24168431	24168521	24168446	24168521	24167222	24167313	18032	5,1	5,15	0,0	15,25	154	139	0.000458861	0.021527794	0.474,0.057	0.0,0.0	0.266	A3SS	3	10	0	20	K562_K700E	CABIN1:chr22:24168431:24168521:24168446:24168521:24167222:24167313:+
27150	ENSG00000099991.18	CABIN1	chr22	+	24168431	24168521	24168446	24168521	24167222	24167313	27150	35,23,21,15,19,19,12,14	188,218,192,118,175,156,75,139	0,9,6,8	124,195,196,130	154	139	4.45E-10	5.88E-08	0.144,0.087,0.09,0.103,0.089,0.099,0.126,0.083	0.0,0.04,0.027,0.053	0.073	A3SS	19	165.5	7	162.5	MDS	CABIN1:chr22:24168431:24168521:24168446:24168521:24167222:24167313:+
6828	ENSG00000108509.21	CAMTA2	chr17	-	4982088	4982175	4982088	4982160	4982756	4982892	6828	32,43,10	41,47,28	13,10,31	72,59,88	164	149	0.000176807	0.011627128	0.415,0.454,0.245	0.141,0.133,0.242	0.199	A3SS	32	41	13	72	Nalm_6	CAMTA2:chr17:4982088:4982175:4982088:4982160:4982756:4982892:-
6263	ENSG00000108509.21	CAMTA2	chr17	-	4982088	4982175	4982088	4982160	4982756	4982892	6263	9,11	2,0	5,9	16,18	154	139	5.55E-08	1.28E-05	0.802,1.0	0.22,0.311	0.635	A3SS	10	1	7	17	K562_K700E	CAMTA2:chr17:4982088:4982175:4982088:4982160:4982756:4982892:-
6922	ENSG00000108509.21	CAMTA2	chr17	-	4982088	4982175	4982088	4982160	4982756	4982892	6922	17,28,37,3,25,16,8,15	52,30,15,9,22,7,5,22	0,5,6,1	4,14,37,5	154	139	1.34E-05	0.000535002	0.228,0.457,0.69,0.231,0.506,0.674,0.591,0.381	0.0,0.244,0.128,0.153	0.339	A3SS	16.5	18.5	3	9.5	MDS	CAMTA2:chr17:4982088:4982175:4982088:4982160:4982756:4982892:-
66392	ENSG00000132024.18	CC2D1A	chr19	+	13923317	13923399	13923332	13923399	13920749	13920922	66392	20,15,11	103,81,50	2,10,5	104,88,157	164	149	7.78E-07	0.000116985	0.15,0.144,0.167	0.017,0.094,0.028	0.107	A3SS	15	81	5	104	Nalm_6	CC2D1A:chr19:13923317:13923399:13923332:13923399:13920749:13920922:+
69300	ENSG00000132024.18	CC2D1A	chr19	+	13923317	13923399	13923332	13923399	13920749	13920922	69300	27,27,11,12,11,23,9,8	86,59,37,59,56,37,11,35	0,0,0,0	14,53,97,15	154	139	0	0	0.221,0.292,0.212,0.155,0.151,0.359,0.425,0.171	0.0,0.0,0.0,0.0	0.248	A3SS	11.5	46.5	0	34	MDS	CC2D1A:chr19:13923317:13923399:13923332:13923399:13920749:13920922:+
67048	ENSG00000137101.14	CD72	chr9	-	35615942	35616278	35615942	35616270	35616599	35616689	67048	34,23,36	4,12,17	26,77,103	0,0,2	157	149	9.33E-13	3.75E-10	0.89,0.645,0.668	1.0,1.0,0.98	-0.259	A3SS	34	12	77	0	Nalm_6	CD72:chr9:35615942:35616278:35615942:35616270:35616599:35616689:-
70125	ENSG00000137101.14	CD72	chr9	-	35615942	35616278	35615942	35616270	35616599	35616689	70125	47,23,29,50,13,37,46,0	67,0,4,0,13,7,4,8	17,18,50,43	0,1,0,1	147	139	1.83E-07	1.27E-05	0.399,1.0,0.873,1.0,0.486,0.833,0.916,0.0	1.0,0.945,1.0,0.976	-0.292	A3SS	33	5.5	30.5	0.5	MDS	CD72:chr9:35615942:35616278:35615942:35616270:35616599:35616689:-
44981	ENSG00000097046.13	CDC7	chr1	+	91501636	91501831	91501653	91501831	91500850	91500948	44981	17,14,5	50,55,35	2,0,0	40,22,30	166	149	2.07E-08	4.44E-06	0.234,0.186,0.114	0.043,0.0,0.0	0.164	A3SS	14	50	0	30	Nalm_6	CDC7:chr1:91501636:91501831:91501653:91501831:91500850:91500948:+
25539	ENSG00000097046.13	CDC7	chr1	+	91501636	91501831	91501653	91501831	91500850	91500948	25539	5,1	17,13	0,0	13,16	156	139	0.001008058	0.038466476	0.208,0.064	0.0,0.0	0.136	A3SS	3	15	0	14.5	K562_K700E	CDC7:chr1:91501636:91501831:91501653:91501831:91500850:91500948:+
53130	ENSG00000174799.11	CEP135	chr4	+	56009712	56009903	56009734	56009903	56008326	56008382	53130	10,29,9	16,21,14	1,0,0	118,68,37	171	149	0	0	0.353,0.546,0.359	0.007,0.0,0.0	0.417	A3SS	10	16	0	68	Nalm_6	CEP135:chr4:56009712:56009903:56009734:56009903:56008326:56008382:+
28812	ENSG00000174799.11	CEP135	chr4	+	56009712	56009903	56009734	56009903	56008326	56008382	28812	2,5	4,5	0,0	7,7	161	139	7.84E-06	0.000777094	0.302,0.463	0.0,0.0	0.383	A3SS	3.5	4.5	0	7	K562_K700E	CEP135:chr4:56009712:56009903:56009734:56009903:56008326:56008382:+
12127	ENSG00000166004.15	CEP295	chr11	+	93729610	93729781	93729613	93729781	93729433	93729530	12127	2,1	11,8	5,8	5,6	142	139	0.00070231	0.029429138	0.151,0.109	0.495,0.566	-0.4	A3SS	1.5	9.5	6.5	5.5	K562_K700E	CEP295:chr11:93729610:93729781:93729613:93729781:93729433:93729530:+
13359	ENSG00000166004.15	CEP295	chr11	+	93729610	93729781	93729613	93729781	93729433	93729530	13359	5,13,9,5,14,6,2,10	26,36,35,15,18,17,36,25	26,16,30,7	7,42,63,4	142	139	0.004888057	0.078605321	0.158,0.261,0.201,0.246,0.432,0.257,0.052,0.281	0.784,0.272,0.318,0.631	-0.265	A3SS	7.5	25.5	21	24.5	MDS	CEP295:chr11:93729610:93729781:93729613:93729781:93729433:93729530:+
41106	ENSG00000135837.16	CEP350	chr1	+	180024418	180024582	180024430	180024582	180022697	180022848	41106	115,107,56	31,64,24	200,110,86	21,27,16	161	149	3.81E-05	0.003300051	0.774,0.607,0.683	0.898,0.79,0.833	-0.152	A3SS	107	31	110	21	Nalm_6	CEP350:chr1:180024418:180024582:180024430:180024582:180022697:180022848:+
43208	ENSG00000135837.16	CEP350	chr1	+	180024418	180024582	180024430	180024582	180022697	180022848	43208	11,20,0,32,10,22,4,8	0,16,23,26,0,13,2,27	3,17,60,8	0,7,2,0	151	139	0.000111265	0.003265241	1.0,0.535,0.0,0.531,1.0,0.609,0.648,0.214	1.0,0.691,0.965,1.0	-0.347	A3SS	10.5	14.5	12.5	1	MDS	CEP350:chr1:180024418:180024582:180024430:180024582:180022697:180022848:+
45817	ENSG00000127586.17	CHTF18	chr16	+	794033	794192	794053	794192	793143	793274	45817	102,118,75	108,111,80	7,14,13	131,289,345	169	149	0	0	0.454,0.484,0.453	0.045,0.041,0.032	0.424	A3SS	102	108	13	289	Nalm_6	CHTF18:chr16:794033:794192:794053:794192:793143:793274:+
25851	ENSG00000127586.17	CHTF18	chr16	+	794033	794192	794053	794192	793143	793274	25851	16,15	12,9	4,1	47,35	159	139	4.60E-13	4.31E-10	0.538,0.593	0.069,0.024	0.519	A3SS	15.5	10.5	2.5	41	K562_K700E	CHTF18:chr16:794033:794192:794053:794192:793143:793274:+
57056	ENSG00000092853.14	CLSPN	chr1	-	35746765	35746992	35746765	35746977	35747906	35748061	57056	119,125,113	15,24,20	167,148,212	10,3,1	164	149	1.93E-11	6.65E-09	0.878,0.826,0.837	0.938,0.978,0.995	-0.123	A3SS	119	20	167	3	Nalm_6	CLSPN:chr1:35746765:35746992:35746765:35746977:35747906:35748061:-
59251	ENSG00000092853.14	CLSPN	chr1	-	35746765	35746992	35746765	35746977	35747906	35748061	59251	50,92,59,64,42,54,52,64	35,6,12,4,0,9,5,3	18,60,108,40	0,0,0,0	154	139	1.86E-11	3.23E-09	0.563,0.933,0.816,0.935,1.0,0.844,0.904,0.951	1.0,1.0,1.0,1.0	-0.132	A3SS	56.5	5.5	50	0	MDS	CLSPN:chr1:35746765:35746992:35746765:35746977:35747906:35748061:-
16367	ENSG00000093010.15	COMT	chr22	+	19962557	19962815	19962658	19962815	19961198	19961289	16367	272,268,175	48,27,15	174,309,260	2,2,0	250	149	0	0	0.772,0.855,0.874	0.981,0.989,1.0	-0.156	A3SS	268	27	260	2	Nalm_6	COMT:chr22:19962557:19962815:19962658:19962815:19961198:19961289:+
14033	ENSG00000093010.15	COMT	chr22	+	19962557	19962815	19962658	19962815	19961198	19961289	14033	168,155	28,24	411,436	0,0	240	139	0	0	0.777,0.789	1.0,1.0	-0.217	A3SS	161.5	26	423.5	0	K562_K700E	COMT:chr22:19962557:19962815:19962658:19962815:19961198:19961289:+
16649	ENSG00000093010.15	COMT	chr22	+	19962557	19962815	19962658	19962815	19961198	19961289	16649	646,523,657,441,578,000,000,000	62,99,85,59,58,46,44,39	341,346,407,375	0,0,0,0	240	139	0	0	0.858,0.754,0.817,0.812,0.852,0.735,0.713,0.856	1.0,1.0,1.0,1.0	-0.2	A3SS	482	58.5	360.5	0	MDS	COMT:chr22:19962557:19962815:19962658:19962815:19961198:19961289:+
26998	ENSG00000166200.15	COPS2	chr15	-	49128701	49128773	49128701	49128760	49129476	49129559	26998	21,25,11	151,246,93	3,0,4	320,183,171	162	149	1.73E-14	8.62E-12	0.113,0.085,0.098	0.009,0.0,0.021	0.089	A3SS	21	151	3	183	Nalm_6	COPS2:chr15:49128701:49128773:49128701:49128760:49129476:49129559:-
18353	ENSG00000166200.15	COPS2	chr15	-	49128701	49128773	49128701	49128760	49129476	49129559	18353	12,10	130,125	0,2	104,112	152	139	1.68E-05	0.001545408	0.078,0.068	0.0,0.016	0.065	A3SS	11	127.5	1	108	K562_K700E	COPS2:chr15:49128701:49128773:49128701:49128760:49129476:49129559:-
27976	ENSG00000166200.15	COPS2	chr15	-	49128701	49128773	49128701	49128760	49129476	49129559	27976	4,26,120,19,89,25,17,15	93,241,207,222,283,100,000,000	0,3,0,1	21,254,349,219	152	139	0	0	0.038,0.09,0.346,0.073,0.223,0.17,0.122,0.034	0.0,0.011,0.0,0.004	0.133	A3SS	22	214.5	0.5	236.5	MDS	COPS2:chr15:49128701:49128773:49128701:49128760:49129476:49129559:-
68407	ENSG00000167113.11	COQ4	chr9	+	128332152	128332282	128332165	128332282	128325778	128325881	68407	93,56,30	12,10,3	97,80,67	0,0,1	162	149	8.48E-10	2.23E-07	0.877,0.837,0.902	1.0,1.0,0.984	-0.123	A3SS	56	10	80	0	Nalm_6	COQ4:chr9:128332152:128332282:128332165:128332282:128325778:128325881:+
71516	ENSG00000167113.11	COQ4	chr9	+	128332152	128332282	128332165	128332282	128325778	128325881	71516	145,99,94,63,89,44,43,134	6,32,19,5,4,9,5,0	51,91,98,42	0,3,0,0	152	139	4.96E-10	6.45E-08	0.957,0.739,0.819,0.92,0.953,0.817,0.887,1.0	1.0,0.965,1.0,1.0	-0.105	A3SS	91.5	5.5	71	0	MDS	COQ4:chr9:128332152:128332282:128332165:128332282:128325778:128325881:+
23583	ENSG00000178773.15	CPNE7	chr16	+	89585396	89585553	89585463	89585553	89584820	89584857	23583	28,21,14	163,136,64	8,1,4	118,120,106	216	149	2.48E-08	5.26E-06	0.106,0.096,0.131	0.045,0.006,0.025	0.086	A3SS	21	136	4	118	Nalm_6	CPNE7:chr16:89585396:89585553:89585463:89585553:89584820:89584857:+
17030	ENSG00000178773.15	CPNE7	chr16	+	89585396	89585553	89585463	89585553	89584820	89584857	17030	14,8	27,17	4,3	32,43	206	139	9.97E-05	0.006506081	0.259,0.241	0.078,0.045	0.189	A3SS	11	22	3.5	37.5	K562_K700E	CPNE7:chr16:89585396:89585553:89585463:89585553:89584820:89584857:+
37225	ENSG00000100368.15	CSF2RB	chr22	+	36935314	36935441	36935350	36935441	36933831	36933994	37225	26,22,17	76,75,52	6,10,12	72,80,133	185	149	1.17E-06	0.000168001	0.216,0.191,0.208	0.063,0.091,0.068	0.131	A3SS	22	75	10	80	Nalm_6	CSF2RB:chr22:36935314:36935441:36935350:36935441:36933831:36933994:+
38722	ENSG00000100368.15	CSF2RB	chr22	+	36935314	36935441	36935350	36935441	36933831	36933994	38722	35,49,10,22,25,26,12,58	240,438,84,213,339,113,70,236	4,16,0,0	101,113,51,46	175	139	0.000105445	0.003115876	0.104,0.082,0.086,0.076,0.055,0.155,0.12,0.163	0.03,0.101,0.0,0.0	0.072	A3SS	25.5	224.5	2	76	MDS	CSF2RB:chr22:36935314:36935441:36935350:36935441:36933831:36933994:+
33054	ENSG00000154832.16	CXXC1	chr18	-	50284923	50285351	50284923	50285247	50285748	50285928	33054	457,285,229	153,153,67	406,499,565	10,18,19	253	149	0	0	0.638,0.523,0.668	0.96,0.942,0.946	-0.34	A3SS	285	153	499	18	Nalm_6	CXXC1:chr18:50284923:50285351:50284923:50285247:50285748:50285928:-
20800	ENSG00000154832.16	CXXC1	chr18	-	50284923	50285351	50284923	50285247	50285748	50285928	20800	18,26	4,2	27,35	1,0	243	139	0.001548308	0.053543874	0.72,0.881	0.939,1.0	-0.169	A3SS	22	3	31	0.5	K562_K700E	CXXC1:chr18:50284923:50285351:50284923:50285247:50285748:50285928:-
34567	ENSG00000154832.16	CXXC1	chr18	-	50284923	50285351	50284923	50285247	50285748	50285928	34567	260,390,204,136,172,000,000,000	142,117,45,51,122,44,54,131	284,237,310,102	5,9,12,3	243	139	0	0	0.512,0.656,0.722,0.604,0.446,0.647,0.517,0.367	0.97,0.938,0.937,0.951	-0.39	A3SS	156.5	85.5	260.5	7	MDS	CXXC1:chr18:50284923:50285351:50284923:50285247:50285748:50285928:-
16207	ENSG00000099958.15	DERL3	chr22	-	23834502	23834979	23834502	23834932	23837063	23837154	16207	11,9,2	9,7,1	1,5,2	8,16,13	196	149	8.19E-05	0.006167528	0.482,0.494,0.603	0.087,0.192,0.105	0.398	A3SS	9	7	2	13	Nalm_6	DERL3:chr22:23834502:23834979:23834502:23834932:23837063:23837154:-
16501	ENSG00000099958.15	DERL3	chr22	-	23834502	23834979	23834502	23834932	23837063	23837154	16501	11,54,20,20,37,5,0,6	5,30,32,43,46,19,28,21	0,0,0,0	8,13,49,10	186	139	2.29E-14	6.29E-12	0.622,0.574,0.318,0.258,0.375,0.164,0.0,0.176	0.0,0.0,0.0,0.0	0.311	A3SS	15.5	29	0	11.5	MDS	DERL3:chr22:23834502:23834979:23834502:23834932:23837063:23837154:-
16408	ENSG00000070413.20	DGCR2	chr22	-	19056985	19057186	19056985	19057162	19063201	19063278	16408	25,30,9	114,117,43	0,0,0	128,151,122	173	149	0	0	0.159,0.181,0.153	0.0,0.0,0.0	0.164	A3SS	25	114	0	128	Nalm_6	DGCR2:chr22:19056985:19057186:19056985:19057162:19063201:19063278:-
14073	ENSG00000070413.20	DGCR2	chr22	-	19056985	19057186	19056985	19057162	19063201	19063278	14073	12,9	49,53	0,0	175,162	163	139	4.08E-12	3.04E-09	0.173,0.126	0.0,0.0	0.149	A3SS	10.5	51	0	168.5	K562_K700E	DGCR2:chr22:19056985:19057186:19056985:19057162:19063201:19063278:-
16679	ENSG00000070413.20	DGCR2	chr22	-	19056985	19057186	19056985	19057162	19063201	19063278	16679	20,39,16,19,28,18,9,16	77,105,46,94,75,85,35,39	0,4,0,0	77,104,150,71	163	139	0	0	0.181,0.241,0.229,0.147,0.241,0.153,0.18,0.259	0.0,0.032,0.0,0.0	0.196	A3SS	18.5	76	0	90.5	MDS	DGCR2:chr22:19056985:19057186:19056985:19057162:19063201:19063278:-
49588	ENSG00000100697.15	DICER1	chr14	-	95129471	95129650	95129471	95129632	95130057	95130192	49588	8,10,9	101,108,70	3,0,8	169,138,195	167	149	1.44E-05	0.001463463	0.066,0.076,0.103	0.016,0.0,0.035	0.065	A3SS	9	101	3	169	Nalm_6	DICER1:chr14:95129471:95129650:95129471:95129632:95130057:95130192:-
51825	ENSG00000100697.15	DICER1	chr14	-	95129471	95129650	95129471	95129632	95130057	95130192	51825	0,0,0,14,16,16,0,10	9,15,48,36,36,74,6,41	0,0,0,0	6,82,124,82	157	139	7.34E-14	1.93E-11	0.0,0.0,0.0,0.256,0.282,0.161,0.0,0.178	0.0,0.0,0.0,0.0	0.11	A3SS	5	36	0	82	MDS	DICER1:chr14:95129471:95129650:95129471:95129632:95130057:95130192:-
37272	ENSG00000160305.18	DIP2A	chr21	+	46551616	46551743	46551633	46551743	46550542	46550744	37272	28,29,20	20,19,19	1,9,7	48,65,67	166	149	0	0	0.557,0.578,0.486	0.018,0.111,0.086	0.469	A3SS	28	19	7	65	Nalm_6	DIP2A:chr21:46551616:46551743:46551633:46551743:46550542:46550744:+
22308	ENSG00000160305.18	DIP2A	chr21	+	46551616	46551743	46551633	46551743	46550542	46550744	22308	3,5	7,3	0,0	21,19	156	139	1.10E-06	0.00015806	0.276,0.598	0.0,0.0	0.437	A3SS	4	5	0	20	K562_K700E	DIP2A:chr21:46551616:46551743:46551633:46551743:46550542:46550744:+
50153	ENSG00000114841.18	DNAH1	chr3	+	52364832	52365019	52364877	52365019	52364637	52364724	50153	9,25,12	5,0,4	13,13,34	0,0,0	194	149	1.45E-05	0.001463463	0.58,1.0,0.697	1.0,1.0,1.0	-0.241	A3SS	12	4	13	0	Nalm_6	DNAH1:chr3:52364832:52365019:52364877:52365019:52364637:52364724:+
